166	408	637	521	404	271	240	126	462	22	347	331	386	409	398	435	692	444	349	624	
188	317	600	674	233	28	535	612	385	189	28	532	535	385	294	628	246	135	664	530	
509	491	204	356	375	679	373	290	145	418	143	281	474	298	600	129	319	555	303	629	
46	132	244	58	148	311	398	36	389	446	349	316	262	143	632	111	167	225	145	429	
651	660	562	320	414	565	46	133	307	432	136	183	419	180	501	633	424	25	243	233	
164	663	218	34	60	381	148	424	545	684	216	671	349	91	340	557	80	294	21	250	
182	523	597	126	586	80	128	665	355	197	545	683	47	655	308	424	348	578	668	221	
261	210	543	288	205	24	688	116	358	346	123	592	522	36	171	619	304	71	210	606	
505	600	231	523	350	89	536	410	587	192	620	599	40	115	347	671	48	265	155	360	
48	623	154	581	662	23	42	90	224	360	556	484	74	241	224	368	534	544	322	450	
283	616	38	113	239	311	580	108	268	646	58	243	644	627	533	585	653	199	591	459	
93	497	440	349	441	538	686	447	541	663	552	637	386	295	290	666	69	249	510	21	
123	643	41	449	96	198	432	249	274	180	120	170	59	527	367	665	276	553	296	621	
181	540	188	186	675	479	253	568	141	135	111	45	226	387	237	369	103	41	83	213	
91	323	423	165	342	689	571	90	555	47	193	22	389	386	387	386	94	536	228	464	
603	675	633	610	125	306	124	53	67	671	249	401	343	64	291	222	382	690	88	651	
309	567	136	588	88	406	289	512	27	103	97	257	21	526	651	217	216	613	436	300	
521	183	690	186	398	40	338	364	420	264	627	352	114	212	279	561	235	515	285	42	
577	465	184	617	43	578	366	82	236	156	233	259	134	670	454	60	682	372	538	669	
77	396	240	20	664	166	620	480	226	56	105	658	206	389	46	497	313	470	267	638	
